t	S	I	R
0	999	1	0
0.001	999	1.0001	0.000100007
0.00398602	998.999	1.0004	0.000387682
0.011131	998.998	1.00113	0.00107646
0.0254898	998.995	1.0026	0.00246236
0.0505836	998.99	1.00517	0.00488983
0.0897963	998.982	1.0092	0.00869671
0.145815	998.971	1.01498	0.0141636
0.220282	998.956	1.02273	0.0214823
0.313698	998.937	1.03253	0.0307461
0.425535	998.914	1.0444	0.0419579
0.554463	998.887	1.05825	0.0550478
0.698615	998.856	1.07396	0.0698939
0.855834	998.822	1.09136	0.0863416
1.02388	998.786	1.11027	0.104221
1.20056	998.746	1.13052	0.123357
1.38386	998.705	1.15191	0.143581
1.57197	998.661	1.17428	0.164736
1.76331	998.616	1.19749	0.186677
1.95653	998.569	1.22139	0.209275
2.15052	998.522	1.24586	0.232418
2.34438	998.473	1.2708	0.256007
2.53736	998.424	1.29612	0.279959
2.7289	998.374	1.32175	0.304202
2.91854	998.324	1.34762	0.328677
3.10595	998.273	1.37367	0.353332
3.29088	998.222	1.39988	0.378128
3.47315	998.171	1.42619	0.403028
3.65265	998.119	1.45258	0.428006
3.82931	998.068	1.47902	0.453038
4.00309	998.016	1.5055	0.478105
4.17399	997.965	1.532	0.503192
4.34203	997.913	1.55851	0.528289
4.50723	997.862	1.58501	0.553384
4.66965	997.81	1.6115	0.57847
4.82934	997.758	1.63797	0.603543
4.98637	997.707	1.66442	0.628596
5.14079	997.656	1.69085	0.653628
5.29267	997.604	1.71724	0.678634
5.44209	997.553	1.7436	0.703615
5.58912	997.501	1.76994	0.728567
5.73382	997.45	1.79624	0.753492
5.87625	997.399	1.8225	0.778388
6.0165	997.348	1.84874	0.803255
6.15462	997.297	1.87494	0.828093
6.29067	997.246	1.90111	0.852904
6.42472	997.195	1.92725	0.877686
6.55683	997.144	1.95335	0.902442
6.68705	997.093	1.97943	0.92717
6.81543	997.043	2.00547	0.951873
6.94204	996.992	2.03149	0.976551
7.06691	996.941	2.05748	1.0012
7.1901	996.891	2.08344	1.02583
7.31166	996.84	2.10937	1.05044
7.43163	996.79	2.13528	1.07502
7.55005	996.739	2.16116	1.09959
7.66697	996.689	2.18702	1.12413
7.78242	996.639	2.21285	1.14865
7.89645	996.588	2.23866	1.17315
8.00909	996.538	2.26445	1.19763
8.12037	996.488	2.29021	1.2221
8.23033	996.437	2.31596	1.24654
8.339	996.387	2.34168	1.27097
8.44641	996.337	2.36739	1.29539
8.5526	996.287	2.39307	1.31978
8.65759	996.237	2.41874	1.34416
8.76142	996.187	2.44439	1.36853
