t	S	I	R
0	999	1	0
0.01	998.998	1.001	0.00100071
0.0218882	998.996	1.00219	0.00219172
0.0355381	998.993	1.00355	0.00356101
0.05078	998.99	1.00508	0.00509227
0.067424	998.986	1.00675	0.00676709
0.0852766	998.983	1.00855	0.00856668
0.104153	998.979	1.01045	0.010473
0.123884	998.975	1.01244	0.0124695
0.144318	998.971	1.01451	0.0145413
0.165325	998.967	1.01664	0.0166757
0.186793	998.962	1.01882	0.0188616
0.208629	998.958	1.02105	0.0210896
0.230753	998.953	1.0233	0.0233522
0.253102	998.949	1.02559	0.0256427
0.275622	998.944	1.0279	0.027956
0.298269	998.939	1.03023	0.0302877
0.32101	998.935	1.03257	0.0326343
0.343815	998.93	1.03492	0.0349928
0.366661	998.925	1.03728	0.037361
0.389529	998.921	1.03965	0.039737
0.412406	998.916	1.04203	0.0421192
0.435278	998.911	1.04441	0.0445064
0.458137	998.906	1.0468	0.0468977
0.480974	998.902	1.04919	0.0492922
0.503785	998.897	1.05158	0.0516893
0.526563	998.892	1.05397	0.0540884
0.549305	998.887	1.05637	0.0564893
0.572008	998.882	1.05877	0.0588914
0.59467	998.878	1.06116	0.0612946
0.617289	998.873	1.06356	0.0636987
0.639863	998.868	1.06596	0.0661034
0.662391	998.863	1.06836	0.0685087
0.684873	998.858	1.07076	0.0709144
0.707308	998.854	1.07316	0.0733204
0.729695	998.849	1.07556	0.0757267
0.752034	998.844	1.07796	0.0781332
0.774325	998.839	1.08037	0.0805399
0.796567	998.834	1.08277	0.0829466
0.818761	998.829	1.08517	0.0853535
0.840907	998.825	1.08757	0.0877605
0.863004	998.82	1.08997	0.0901675
0.885053	998.815	1.09237	0.0925745
0.907054	998.81	1.09477	0.0949816
0.929007	998.805	1.09717	0.0973886
0.950912	998.801	1.09958	0.0997957
0.972769	998.796	1.10198	0.102203
0.994579	998.791	1.10438	0.10461
1.01634	998.786	1.10678	0.107017
1.03806	998.781	1.10918	0.109424
1.05972	998.777	1.11158	0.111831
1.08134	998.772	1.11398	0.114238
1.10292	998.767	1.11638	0.116645
1.12445	998.762	1.11879	0.119052
1.14593	998.757	1.12119	0.121459
1.16736	998.753	1.12359	0.123866
1.18875	998.748	1.12599	0.126273
1.2101	998.743	1.12839	0.12868
1.2314	998.738	1.13079	0.131087
1.25265	998.733	1.13319	0.133494
1.27386	998.729	1.13559	0.135901
1.29502	998.724	1.13799	0.138307
1.31614	998.719	1.14039	0.140714
1.33721	998.714	1.14279	0.143121
1.35824	998.709	1.14519	0.145528
1.37923	998.704	1.14759	0.147935
1.40017	998.7	1.15	0.150341
1.42107	998.695	1.1524	0.152748
1.44192	998.69	1.1548	0.155155
1.46273	998.685	1.1572	0.157562
1.4835	998.68	1.1596	0.159968
1.50422	998.676	1.162	0.162375
1.5249	998.671	1.1644	0.164782
1.54554	998.666	1.1668	0.167188
1.56614	998.661	1.1692	0.169595
1.58669	998.656	1.1716	0.172001
1.6072	998.652	1.174	0.174408
1.62767	998.647	1.1764	0.176815
1.6481	998.642	1.1788	0.179221
1.66848	998.637	1.1812	0.181628
1.68883	998.632	1.1836	0.184034
1.70913	998.628	1.186	0.186441
1.72939	998.623	1.1884	0.188847
1.74961	998.618	1.1908	0.191254
1.76979	998.613	1.1932	0.19366
1.78993	998.608	1.1956	0.196067
1.81003	998.604	1.198	0.198473
1.83009	998.599	1.2004	0.20088
1.85011	998.594	1.2028	0.203286
1.87009	998.589	1.2052	0.205692
1.89003	998.584	1.2076	0.208099
1.90993	998.579	1.21	0.210505
1.92978	998.575	1.21239	0.212912
1.94961	998.57	1.21479	0.215318
1.96939	998.565	1.21719	0.217724
1.98913	998.56	1.21959	0.220131
2.00883	998.555	1.22199	0.222537
2.0285	998.551	1.22439	0.224943
2.04812	998.546	1.22679	0.227349
2.06771	998.541	1.22919	0.229756
2.08726	998.536	1.23159	0.232162
2.10677	998.531	1.23399	0.234568
2.12624	998.527	1.23639	0.236975
2.14568	998.522	1.23879	0.239381
2.16507	998.517	1.24119	0.241787
2.18443	998.512	1.24359	0.244193
2.20376	998.507	1.24598	0.2466
2.22304	998.503	1.24838	0.249006
2.24229	998.498	1.25078	0.251412
2.2615	998.493	1.25318	0.253818
2.28068	998.488	1.25558	0.256224
2.29982	998.483	1.25798	0.258631
2.31892	998.479	1.26038	0.261037
2.33798	998.474	1.26278	0.263443
2.35701	998.469	1.26518	0.265849
2.376	998.464	1.26757	0.268255
2.39496	998.459	1.26997	0.270661
2.41388	998.455	1.27237	0.273068
2.43277	998.45	1.27477	0.275474
2.45162	998.445	1.27717	0.27788
2.47043	998.44	1.27957	0.280286
2.48921	998.435	1.28197	0.282692
2.50796	998.431	1.28437	0.285098
2.52666	998.426	1.28676	0.287504
2.54534	998.421	1.28916	0.28991
2.56398	998.416	1.29156	0.292316
2.58258	998.411	1.29396	0.294723
2.60115	998.407	1.29636	0.297129
2.61969	998.402	1.29876	0.299535
2.63819	998.397	1.30115	0.301941
2.65666	998.392	1.30355	0.304347
2.67509	998.387	1.30595	0.306753
2.69349	998.382	1.30835	0.309159
2.71186	998.378	1.31075	0.311565
2.73019	998.373	1.31315	0.313971
2.74849	998.368	1.31554	0.316377
2.76676	998.363	1.31794	0.318783
2.78499	998.358	1.32034	0.321189
2.80319	998.354	1.32274	0.323595
2.82136	998.349	1.32514	0.326001
2.83949	998.344	1.32753	0.328408
2.85759	998.339	1.32993	0.330814
2.87566	998.334	1.33233	0.33322
2.8937	998.33	1.33473	0.335626
2.9117	998.325	1.33713	0.338032
2.92967	998.32	1.33952	0.340438
2.94761	998.315	1.34192	0.342844
2.96552	998.31	1.34432	0.34525
2.98339	998.306	1.34672	0.347656
3.00124	998.301	1.34912	0.350062
3.01905	998.296	1.35151	0.352468
3.03683	998.291	1.35391	0.354874
3.05458	998.286	1.35631	0.35728
3.07229	998.282	1.35871	0.359686
3.08998	998.277	1.36111	0.362092
3.10763	998.272	1.3635	0.364498
3.12526	998.267	1.3659	0.366904
3.14285	998.262	1.3683	0.36931
3.16041	998.258	1.3707	0.371716
3.17795	998.253	1.37309	0.374122
3.19545	998.248	1.37549	0.376528
3.21292	998.243	1.37789	0.378934
3.23036	998.238	1.38029	0.381341
3.24777	998.234	1.38268	0.383747
3.26515	998.229	1.38508	0.386153
3.2825	998.224	1.38748	0.388559
3.29982	998.219	1.38988	0.390965
3.31711	998.214	1.39227	0.393371
3.33437	998.21	1.39467	0.395777
3.3516	998.205	1.39707	0.398183
3.3688	998.2	1.39947	0.400589
3.38597	998.195	1.40186	0.402995
3.40312	998.19	1.40426	0.405401
3.42023	998.186	1.40666	0.407807
3.43731	998.181	1.40906	0.410213
3.45437	998.176	1.41145	0.412619
3.4714	998.171	1.41385	0.415026
3.48839	998.166	1.41625	0.417432
3.50536	998.162	1.41865	0.419838
3.5223	998.157	1.42104	0.422244
3.53921	998.152	1.42344	0.42465
3.5561	998.147	1.42584	0.427056
3.57295	998.142	1.42823	0.429462
3.58978	998.138	1.43063	0.431868
3.60658	998.133	1.43303	0.434274
3.62335	998.128	1.43543	0.436681
3.64009	998.123	1.43782	0.439087
3.65681	998.118	1.44022	0.441493
3.67349	998.113	1.44262	0.443899
3.69015	998.109	1.44501	0.446305
3.70679	998.104	1.44741	0.448711
3.72339	998.099	1.44981	0.451118
3.73997	998.094	1.4522	0.453524
3.75652	998.089	1.4546	0.45593
3.77304	998.085	1.457	0.458336
3.78954	998.08	1.4594	0.460742
3.806	998.075	1.46179	0.463148
3.82245	998.07	1.46419	0.465555
3.83886	998.065	1.46659	0.467961
3.85525	998.061	1.46898	0.470367
3.87161	998.056	1.47138	0.472773
3.88794	998.051	1.47378	0.47518
3.90425	998.046	1.47617	0.477586
3.92053	998.041	1.47857	0.479992
3.93679	998.037	1.48097	0.482398
3.95302	998.032	1.48336	0.484805
3.96922	998.027	1.48576	0.487211
3.9854	998.022	1.48816	0.489617
4.00155	998.017	1.49055	0.492023
4.01768	998.013	1.49295	0.49443
4.03378	998.008	1.49535	0.496836
4.04985	998.003	1.49775	0.499242
4.0659	997.998	1.50014	0.501649
4.08192	997.993	1.50254	0.504055
4.09792	997.989	1.50494	0.506461
4.11389	997.984	1.50733	0.508868
4.12984	997.979	1.50973	0.511274
4.14576	997.974	1.51213	0.51368
4.16165	997.969	1.51452	0.516087
4.17752	997.965	1.51692	0.518493
4.19337	997.96	1.51931	0.5209
4.20919	997.955	1.52171	0.523306
4.22499	997.95	1.52411	0.525712
4.24076	997.945	1.5265	0.528119
4.25651	997.941	1.5289	0.530525
4.27223	997.936	1.5313	0.532932
4.28793	997.931	1.53369	0.535338
4.3036	997.926	1.53609	0.537745
4.31925	997.921	1.53849	0.540151
4.33487	997.917	1.54088	0.542558
4.35047	997.912	1.54328	0.544964
4.36605	997.907	1.54568	0.547371
4.3816	997.902	1.54807	0.549777
4.39713	997.897	1.55047	0.552184
4.41263	997.893	1.55287	0.55459
4.42812	997.888	1.55526	0.556997
4.44357	997.883	1.55766	0.559403
4.45901	997.878	1.56005	0.56181
4.47441	997.873	1.56245	0.564217
4.4898	997.869	1.56485	0.566623
4.50516	997.864	1.56724	0.56903
4.5205	997.859	1.56964	0.571436
4.53582	997.854	1.57204	0.573843
4.55111	997.849	1.57443	0.57625
4.56638	997.845	1.57683	0.578656
4.58163	997.84	1.57923	0.581063
4.59685	997.835	1.58162	0.58347
4.61205	997.83	1.58402	0.585877
4.62723	997.825	1.58641	0.588283
4.64238	997.82	1.58881	0.59069
