t	S	I	R
0	999	1	0
0.01	998.998	1.001	0.00100067
0.02	998.996	1.002	0.00200233
0.03	998.994	1.003	0.003005
0.04	998.992	1.004	0.00400866
0.05	998.99	1.005	0.00501333
0.06	998.988	1.00601	0.006019
0.07	998.986	1.00701	0.00702568
0.08	998.984	1.00802	0.00803336
0.09	998.982	1.00902	0.00904205
0.1	998.98	1.01003	0.0100517
0.11	998.978	1.01104	0.0110624
0.12	998.976	1.01205	0.0120742
0.13	998.974	1.01306	0.0130869
0.14	998.972	1.01407	0.0141006
0.15	998.97	1.01508	0.0151154
0.16	998.968	1.0161	0.0161311
0.17	998.966	1.01711	0.0171479
0.18	998.964	1.01813	0.0181657
0.19	998.962	1.01915	0.0191845
0.2	998.96	1.02016	0.0202043
0.21	998.958	1.02118	0.0212252
0.22	998.956	1.0222	0.022247
0.23	998.954	1.02322	0.0232699
0.24	998.951	1.02424	0.0242938
0.25	998.949	1.02527	0.0253187
0.26	998.947	1.02629	0.0263447
0.27	998.945	1.02732	0.0273717
0.28	998.943	1.02834	0.0283997
0.29	998.941	1.02937	0.0294287
0.3	998.939	1.0304	0.0304587
0.31	998.937	1.03142	0.0314898
0.32	998.935	1.03245	0.0325219
0.33	998.933	1.03349	0.0335551
0.34	998.931	1.03452	0.0345892
0.35	998.929	1.03555	0.0356245
0.36	998.927	1.03658	0.0366607
0.37	998.925	1.03762	0.037698
0.38	998.923	1.03866	0.0387363
0.39	998.921	1.03969	0.0397756
0.4	998.918	1.04073	0.040816
0.41	998.916	1.04177	0.0418574
0.42	998.914	1.04281	0.0428999
0.43	998.912	1.04385	0.0439434
0.44	998.91	1.04489	0.0449879
0.45	998.908	1.04594	0.0460335
0.46	998.906	1.04698	0.0470802
0.47	998.904	1.04803	0.0481278
0.48	998.902	1.04907	0.0491766
0.49	998.9	1.05012	0.0502263
0.5	998.898	1.05117	0.0512772
0.51	998.895	1.05222	0.052329
0.52	998.893	1.05327	0.0533819
0.53	998.891	1.05432	0.0544359
0.54	998.889	1.05537	0.0554909
0.55	998.887	1.05643	0.056547
0.56	998.885	1.05748	0.0576041
0.57	998.883	1.05854	0.0586623
0.58	998.881	1.05959	0.0597216
0.59	998.879	1.06065	0.0607819
0.6	998.876	1.06171	0.0618432
0.61	998.874	1.06277	0.0629057
0.62	998.872	1.06383	0.0639691
0.63	998.87	1.0649	0.0650337
0.64	998.868	1.06596	0.0660993
0.65	998.866	1.06702	0.0671659
0.66	998.864	1.06809	0.0682337
0.67	998.862	1.06915	0.0693025
0.68	998.859	1.07022	0.0703723
0.69	998.857	1.07129	0.0714433
0.7	998.855	1.07236	0.0725153
0.71	998.853	1.07343	0.0735884
0.72	998.851	1.0745	0.0746625
0.73	998.849	1.07557	0.0757377
0.74	998.847	1.07665	0.076814
0.75	998.844	1.07772	0.0778914
0.76	998.842	1.0788	0.0789698
0.77	998.84	1.07988	0.0800493
0.78	998.838	1.08095	0.0811299
0.79	998.836	1.08203	0.0822116
0.8	998.834	1.08311	0.0832943
0.81	998.831	1.0842	0.0843782
0.82	998.829	1.08528	0.0854631
0.83	998.827	1.08636	0.0865491
0.84	998.825	1.08745	0.0876362
0.85	998.823	1.08853	0.0887244
0.86	998.821	1.08962	0.0898136
0.87	998.818	1.09071	0.0909039
0.88	998.816	1.09179	0.0919954
0.89	998.814	1.09288	0.0930879
0.9	998.812	1.09398	0.0941815
0.91	998.81	1.09507	0.0952762
0.92	998.807	1.09616	0.096372
0.93	998.805	1.09725	0.0974689
0.94	998.803	1.09835	0.0985669
0.95	998.801	1.09945	0.099666
0.96	998.799	1.10054	0.100766
0.97	998.796	1.10164	0.101867
0.98	998.794	1.10274	0.10297
0.99	998.792	1.10384	0.104073
1	998.79	1.10495	0.105178
1.01	998.788	1.10598	0.106307
1.02	998.786	1.10702	0.107437
1.03	998.783	1.10805	0.108568
1.04	998.781	1.10909	0.1097
1.05	998.779	1.11013	0.110833
1.06	998.777	1.11117	0.111967
1.07	998.775	1.11221	0.113102
1.08	998.773	1.11325	0.114238
1.09	998.77	1.11429	0.115376
1.1	998.768	1.11534	0.116514
1.11	998.766	1.11638	0.117654
1.12	998.764	1.11743	0.118794
1.13	998.762	1.11847	0.119936
1.14	998.759	1.11952	0.121078
1.15	998.757	1.12057	0.122222
1.16	998.755	1.12162	0.123367
1.17	998.753	1.12267	0.124513
1.18	998.751	1.12372	0.12566
1.19	998.748	1.12477	0.126808
1.2	998.746	1.12583	0.127957
1.21	998.744	1.12688	0.129107
1.22	998.742	1.12794	0.130258
1.23	998.74	1.12899	0.131411
1.24	998.737	1.13005	0.132564
1.25	998.735	1.13111	0.133719
1.26	998.733	1.13217	0.134874
1.27	998.731	1.13323	0.136031
1.28	998.729	1.13429	0.137189
1.29	998.726	1.13535	0.138348
1.3	998.724	1.13642	0.139508
1.31	998.722	1.13748	0.140669
1.32	998.72	1.13855	0.141831
1.33	998.717	1.13961	0.142994
1.34	998.715	1.14068	0.144158
1.35	998.713	1.14175	0.145323
1.36	998.711	1.14282	0.14649
1.37	998.708	1.14389	0.147657
1.38	998.706	1.14496	0.148826
1.39	998.704	1.14603	0.149996
1.4	998.702	1.1471	0.151167
1.41	998.699	1.14818	0.152339
1.42	998.697	1.14925	0.153512
1.43	998.695	1.15033	0.154686
1.44	998.693	1.15141	0.155861
1.45	998.69	1.15248	0.157037
1.46	998.688	1.15356	0.158215
1.47	998.686	1.15464	0.159393
1.48	998.684	1.15572	0.160573
1.49	998.681	1.15681	0.161754
1.5	998.679	1.15789	0.162935
1.51	998.677	1.15897	0.164118
1.52	998.675	1.16006	0.165302
1.53	998.672	1.16115	0.166488
1.54	998.67	1.16223	0.167674
1.55	998.668	1.16332	0.168861
1.56	998.666	1.16441	0.17005
1.57	998.663	1.1655	0.171239
1.58	998.661	1.16659	0.17243
1.59	998.659	1.16768	0.173622
1.6	998.656	1.16878	0.174815
1.61	998.654	1.16987	0.176009
1.62	998.652	1.17097	0.177204
1.63	998.65	1.17206	0.1784
1.64	998.647	1.17316	0.179598
1.65	998.645	1.17426	0.180796
1.66	998.643	1.17536	0.181996
1.67	998.64	1.17646	0.183197
1.68	998.638	1.17756	0.184399
1.69	998.636	1.17866	0.185602
1.7	998.633	1.17977	0.186806
1.71	998.631	1.18087	0.188011
1.72	998.629	1.18198	0.189218
1.73	998.626	1.18308	0.190425
1.74	998.624	1.18419	0.191634
1.75	998.622	1.1853	0.192844
1.76	998.62	1.18641	0.194055
1.77	998.617	1.18752	0.195267
1.78	998.615	1.18863	0.19648
1.79	998.613	1.18975	0.197694
1.8	998.61	1.19086	0.19891
1.81	998.608	1.19198	0.200127
1.82	998.606	1.19309	0.201344
1.83	998.603	1.19421	0.202563
1.84	998.601	1.19533	0.203783
1.85	998.599	1.19645	0.205005
1.86	998.596	1.19757	0.206227
1.87	998.594	1.19869	0.20745
1.88	998.592	1.19981	0.208675
1.89	998.589	1.20093	0.209901
1.9	998.587	1.20206	0.211128
1.91	998.584	1.20318	0.212356
1.92	998.582	1.20431	0.213585
1.93	998.58	1.20544	0.214815
1.94	998.577	1.20656	0.216047
1.95	998.575	1.20769	0.21728
1.96	998.573	1.20882	0.218513
1.97	998.57	1.20996	0.219748
1.98	998.568	1.21109	0.220984
1.99	998.566	1.21222	0.222222
2	998.563	1.21336	0.22346
2.01	998.561	1.21464	0.224651
2.02	998.558	1.21592	0.225844
2.03	998.556	1.21721	0.227037
2.04	998.553	1.21849	0.228232
2.05	998.551	1.21978	0.229429
2.06	998.548	1.22107	0.230626
2.07	998.546	1.22236	0.231825
2.08	998.543	1.22365	0.233025
2.09	998.541	1.22494	0.234226
2.1	998.538	1.22623	0.235428
2.11	998.536	1.22753	0.236632
2.12	998.533	1.22882	0.237837
2.13	998.531	1.23012	0.239044
2.14	998.528	1.23142	0.240251
2.15	998.526	1.23272	0.24146
2.16	998.523	1.23402	0.24267
2.17	998.521	1.23532	0.243882
2.18	998.518	1.23663	0.245094
2.19	998.516	1.23793	0.246308
2.2	998.513	1.23924	0.247524
2.21	998.511	1.24055	0.24874
2.22	998.508	1.24186	0.249958
2.23	998.506	1.24317	0.251177
2.24	998.503	1.24448	0.252397
2.25	998.501	1.2458	0.253619
2.26	998.498	1.24711	0.254842
2.27	998.496	1.24843	0.256066
2.28	998.493	1.24975	0.257292
2.29	998.49	1.25107	0.258519
2.3	998.488	1.25239	0.259747
2.31	998.485	1.25371	0.260976
2.32	998.483	1.25503	0.262207
2.33	998.48	1.25636	0.263439
2.34	998.478	1.25769	0.264673
2.35	998.475	1.25901	0.265907
2.36	998.473	1.26034	0.267143
2.37	998.47	1.26167	0.26838
2.38	998.467	1.26301	0.269619
2.39	998.465	1.26434	0.270859
2.4	998.462	1.26567	0.2721
