t	S	I	R
1.51	998.675	1.1625	0.162881
1.52	998.672	1.16366	0.164044
1.53	998.67	1.16482	0.165207
1.54	998.668	1.16598	0.166372
1.55	998.665	1.16715	0.167538
1.56	998.663	1.16831	0.168705
1.57	998.661	1.16948	0.169874
1.58	998.658	1.17064	0.171043
1.59	998.656	1.17181	0.172214
1.6	998.654	1.17298	0.173386
1.61	998.651	1.17415	0.174559
1.62	998.649	1.17532	0.175733
1.63	998.647	1.17649	0.176908
1.64	998.644	1.17767	0.178085
1.65	998.642	1.17884	0.179262
1.66	998.64	1.18002	0.180441
1.67	998.637	1.18119	0.181621
1.68	998.635	1.18237	0.182802
1.69	998.632	1.18355	0.183985
1.7	998.63	1.18473	0.185168
1.71	998.628	1.18591	0.186353
1.72	998.625	1.18709	0.187539
1.73	998.623	1.18828	0.188726
1.74	998.621	1.18946	0.189914
1.75	998.618	1.19065	0.191104
1.76	998.616	1.19184	0.192294
1.77	998.613	1.19302	0.193486
1.78	998.611	1.19421	0.194679
1.79	998.609	1.19541	0.195873
1.8	998.606	1.1966	0.197069
1.81	998.604	1.19779	0.198265
1.82	998.602	1.19899	0.199463
1.83	998.599	1.20018	0.200662
1.84	998.597	1.20138	0.201862
1.85	998.594	1.20258	0.203064
1.86	998.592	1.20377	0.204266
1.87	998.59	1.20498	0.20547
1.88	998.587	1.20618	0.206675
1.89	998.585	1.20738	0.207881
1.9	998.582	1.20858	0.209089
1.91	998.58	1.20979	0.210297
1.92	998.577	1.211	0.211507
1.93	998.575	1.2122	0.212718
1.94	998.573	1.21341	0.21393
1.95	998.57	1.21462	0.215144
1.96	998.568	1.21583	0.216358
1.97	998.565	1.21704	0.217574
1.98	998.563	1.21826	0.218791
1.99	998.561	1.21947	0.220009
2	998.558	1.22069	0.221229
2.01	998.556	1.22191	0.22245
2.02	998.553	1.22312	0.223671
2.03	998.551	1.22434	0.224895
2.04	998.548	1.22557	0.226119
2.05	998.546	1.22679	0.227344
2.06	998.543	1.22801	0.228571
2.07	998.541	1.22923	0.229799
2.08	998.539	1.23046	0.231029
2.09	998.536	1.23169	0.232259
2.1	998.534	1.23292	0.233491
2.11	998.531	1.23414	0.234724
2.12	998.529	1.23538	0.235958
2.13	998.526	1.23661	0.237193
2.14	998.524	1.23784	0.23843
2.15	998.521	1.23907	0.239668
2.16	998.519	1.24031	0.240907
2.17	998.516	1.24155	0.242147
2.18	998.514	1.24278	0.243388
2.19	998.511	1.24402	0.244631
2.2	998.509	1.24526	0.245875
2.21	998.506	1.2465	0.247121
2.22	998.504	1.24775	0.248367
2.23	998.501	1.24899	0.249615
2.24	998.499	1.25024	0.250864
2.25	998.496	1.25148	0.252114
2.26	998.494	1.25273	0.253365
2.27	998.491	1.25398	0.254618
2.28	998.489	1.25523	0.255872
2.29	998.486	1.25648	0.257127
